Style,Color,Collection,Optical,SKU,Male,Female,Active
Owen,Revolver Black Matte,Winter 2011 Collection,Optical,Owen-101,1,1,1
Owen,Striped Chestnut,Winter 2011 Collection,Optical,Owen-230,1,1,1
Pierce,Greystone,Winter 2011 Collection,Optical,Pierce-150,1,1,1
Pierce,Oakwood Brown,Winter 2011 Collection,Optical,Pierce-260,1,1,1
Pierce,Revolver Black,Winter 2011 Collection,Optical,Pierce-100,1,1,1
Preston,Hazelwood,Winter 2011 Collection,Optical,Preston-211,1,1,1
Preston,Sandalwood Matte,Winter 2011 Collection,Optical,Preston-210,1,1,1
Preston,Whiskey Tortoise,Winter 2011 Collection,Optical,Preston-200,1,1,1
Reece,Midnight Blue,Winter 2011 Collection,Optical,Reece-350,0,1,1
Reece,Sandalwood Matte,Winter 2011 Collection,Optical,Reece-210,0,1,1
Reece,Whiskey Tortoise,Winter 2011 Collection,Optical,Reece-200,0,1,1
Sinclair,Burgundy Fade,Winter 2011 Collection,Optical,Sinclair-313,1,1,1
Sinclair,Greystone,Winter 2011 Collection,Optical,Sinclair-150,1,1,1
Sinclair,Midnight Blue,Winter 2011 Collection,Optical,Sinclair-350,1,1,1
Tenley,Burgundy Fade,Winter 2011 Collection,Optical,Tenley-313,0,1,1
Tenley,Midnight Blue,Winter 2011 Collection,Optical,Tenley-350,0,1,1
Thatcher,Revolver Black,Winter 2011 Collection,Optical,Thatcher-100,1,1,1
Thatcher,Whiskey Tortoise,Winter 2011 Collection,Optical,Thatcher-200,1,1,1
Winston,Lunar Fade,Winter 2011 Collection,Optical,Winston-143,1,1,1
Winston,Old Fashioned Fade,Winter 2011 Collection,Optical,Winston-273,1,1,1
Winston,Striped Sassafras,Winter 2011 Collection,Optical,Winston-256,0,0,0
Winston,Revolver Black,Winter 2011 Collection,Optical,Winston-100,1,1,1
Winston,Striped Sassafras,Winter 2011 Collection,Optical,Winston-256,0,0,0
Everett,Redwood Ash with Black Temple,Auteur,Sun,Everett-920,1,1,1
Fillmore,Redwood Ash with Black Temple,Auteur,Sun,Fillmore-920,0,0,0
Jasper,Violet Magnolia with Black Temple,Auteur,Sun,Jasper-921,0,0,0
Tenley,Violet Magnolia with Black Temple,Auteur,Sun,Tenley-921,0,0,0
Thatcher,Walnut Tortoise with Black Temple,Auteur,Sun,Thatcher-922,1,1,1
Winston,Walnut Tortoise with Black Temple,Auteur,Sun,Winston-922,0,0,0
Griffin,Greystone,Blue Mirror,Sun,Griffin-1150,0,0,0
Spencer,Revolver Black Matte,Blue Mirror,Sun,Spencer-1101,0,0,0
Thatcher,Midnight Blue,Blue Mirror,Sun,Thatcher-1350,0,0,0
Madison,Rum Cherry,Fall 2012 Collection,Sun,Madison-610,0,1,1
Madison,Whiskey Tortoise,Fall 2012 Collection,Sun,Madison-200,0,1,1
Paley,Blue Marblewood,Fall 2012 Collection,Sun,Paley-140,1,1,1
Paley,Revolver Black,Fall 2012 Collection,Sun,Paley-100,1,1,1
Robinson,Olivewood,Fall 2012 Collection,Sun,Robinson-240,1,1,1
Robinson,Revolver Black Matte,Fall 2012 Collection,Sun,Robinson-101,1,1,1
Digby,Striped Chestnut,RX Sun Launch Collection,Sun,Digby-230,0,0,0
Digby,Tennessee Whiskey,RX Sun Launch Collection,Sun,Digby-203,0,0,0
Digby,Whiskey Tortoise Matte,RX Sun Launch Collection,Sun,Digby-201,0,0,0
Evelyn,Marine Slate,First Sun Collection,Sun,Evelyn-340,0,1,1
Everett,Striped Ale,NONE,Sun,Evelyn-248,0,0,0
Evelyn,Whiskey Tortoise,First Sun Collection,Sun,Evelyn-200,0,1,1
Everett,Gimlet Tortoise,First Sun Collection,Sun,Everett-235,1,1,1
Everett,Marine Slate,Spring 2012 Collection,Sun,Everett-340,1,1,1
Everett,Midnight Blue,First Sun Collection,Sun,Everett-350,1,1,1
Fillmore,Crystal,RX Sun Launch Collection,Sun,Fillmore-500,0,0,0
Fillmore,Hazelwood,RX Sun Launch Collection,Sun,Fillmore-211,0,0,0
Fillmore,Revolver Black,RX Sun Launch Collection,Sun,Fillmore-100,0,0,0
Fillmore,Sandalwood Matte,RX Sun Launch Collection,Sun,Fillmore-210,0,0,0
Fillmore,Tennessee Whiskey,RX Sun Launch Collection,Sun,Fillmore-203,0,0,0
Huxley,Crystal,RX Sun Launch Collection,Sun,Huxley-500,0,0,0
Huxley,Hazelwood,RX Sun Launch Collection,Sun,Huxley-211,0,0,0
Huxley,Revolver Black,RX Sun Launch Collection,Sun,Huxley-100,0,0,0
Huxley,Sandalwood Matte,RX Sun Launch Collection,Sun,Huxley-210,0,0,0
Huxley,Tennessee Whiskey,RX Sun Launch Collection,Sun,Huxley-203,0,0,0
Huxley,Whiskey Tortoise,RX Sun Launch Collection,Sun,Huxley-200,0,0,0
Japhy,Crystal Matte,RX Sun Launch Collection,Sun,Japhy-502,0,0,0
Jasper,Marine Slate,First Sun Collection,Sun,Jasper-340,1,1,1
Jasper,Whiskey Tortoise,First Sun Collection,Sun,Jasper-200,1,1,1
Liv,Burgundy Fade,First Sun Collection,Sun,Liv-313,0,1,1
Liv,Greystone,First Sun Collection,Sun,Liv-150,0,1,1
Mabel,Gimlet Tortoise,First Sun Collection,Sun,Mabel-235,0,1,1
Mabel,Greystone,First Sun Collection,Sun,Mabel-150,0,1,1
Miles,Amber,RX Sun Launch Collection,Sun,Miles-220,0,0,0
Miles,Crystal,RX Sun Launch Collection,Sun,Miles-500,0,0,0
Miles,Hazelwood,RX Sun Launch Collection,Sun,Miles-211,0,0,0
Miles,Revolver Black,RX Sun Launch Collection,Sun,Miles-100,0,0,0
Miles,Sandalwood Matte,RX Sun Launch Collection,Sun,Miles-210,0,0,0
Roosevelt,Bondi Blue,RX Sun Launch Collection,Sun,Roosevelt-603,0,0,0
Roosevelt,Crystal,RX Sun Launch Collection,Sun,Roosevelt-500,0,0,0
Roosevelt,Revolver Black Matte,RX Sun Launch Collection,Sun,Roosevelt-101,0,0,0
Roosevelt,Striped Chestnut,RX Sun Launch Collection,Sun,Roosevelt-230,0,0,0
Spencer,Blonde Tortoise,First Sun Collection,Sun,Spencer-305,1,1,1
Spencer,Midnight Blue,First Sun Collection,Sun,Spencer-350,1,1,1
Downing,Revolver Black,Holiday 2012 Collection,Sun,Downing-100,1,1,1
Downing,Walnut Tortoise,Holiday 2012 Collection,Sun,Downing-242,1,1,1
Neville,Redwood Ash,Holiday 2012 Collection,Sun,Neville-262,1,1,1
Neville,Revolver Black Matte,Holiday 2012 Collection,Sun,Neville-101,1,1,1
